session_time_s,messages,seconds,mmsg_s,ns_per_msg
19658.875,2000000,0.057048,35.058,28.524
25663.406,2000000,0.060791,32.900,30.395
30225.160,2000000,0.064049,31.226,32.025
33071.483,2000000,0.065337,30.611,32.668
34165.143,2000000,0.045028,44.417,22.514
34217.602,2000000,0.085104,23.501,42.552
34295.043,2000000,0.098238,20.359,49.119
34390.982,2000000,0.082167,24.341,41.083
34481.932,2000000,0.081594,24.512,40.797
34569.034,2000000,0.079357,25.202,39.679
34661.253,2000000,0.078934,25.338,39.467
34744.319,2000000,0.080799,24.753,40.399
34838.563,2000000,0.080753,24.767,40.376
34924.577,2000000,0.081469,24.549,40.735
35025.425,2000000,0.079332,25.210,39.666
35110.008,2000000,0.082871,24.134,41.435
35216.685,2000000,0.079192,25.255,39.596
35314.258,2000000,0.077823,25.699,38.911
35417.911,2000000,0.077584,25.779,38.792
35530.696,2000000,0.075798,26.386,37.899
35644.015,2000000,0.074197,26.955,37.098
35759.921,2000000,0.074499,26.846,37.249
35869.450,2000000,0.076869,26.018,38.434
35995.941,2000000,0.076678,26.083,38.339
36104.570,2000000,0.075138,26.618,37.569
36199.749,2000000,0.075398,26.526,37.699
36312.254,2000000,0.074677,26.782,37.338
36422.824,2000000,0.073390,27.252,36.695
36546.307,2000000,0.074694,26.776,37.347
36666.173,2000000,0.074302,26.917,37.151
36770.351,2000000,0.076844,26.027,38.422
36899.515,2000000,0.076750,26.059,38.375
37024.744,2000000,0.076197,26.248,38.098
37147.383,2000000,0.074586,26.815,37.293
37266.736,2000000,0.076501,26.143,38.251
37404.678,2000000,0.075779,26.392,37.890
37551.304,2000000,0.075434,26.513,37.717
37695.858,2000000,0.074795,26.740,37.397
37834.840,2000000,0.075330,26.550,37.665
37965.713,2000000,0.074989,26.671,37.495
38083.022,2000000,0.074811,26.734,37.406
38221.772,2000000,0.073873,27.073,36.937
38322.631,2000000,0.074905,26.701,37.452
38453.043,2000000,0.073980,27.034,36.990
38600.184,2000000,0.075023,26.658,37.512
38727.574,2000000,0.074854,26.719,37.427
38872.712,2000000,0.073705,27.135,36.853
39021.534,2000000,0.073534,27.198,36.767
39179.234,2000000,0.072555,27.565,36.278
39311.317,2000000,0.073217,27.316,36.608
39444.915,2000000,0.074016,27.021,37.008
39584.264,2000000,0.074700,26.774,37.350
39666.735,2000000,0.076435,26.166,38.218
39771.449,2000000,0.078856,25.363,39.428
39897.848,2000000,0.076467,26.155,38.234
40047.734,2000000,0.076862,26.021,38.431
40193.671,2000000,0.077202,25.906,38.601
40319.408,2000000,0.075035,26.654,37.518
40473.428,2000000,0.074221,26.947,37.110
40613.860,2000000,0.071683,27.901,35.841
40766.178,2000000,0.071641,27.917,35.821
40922.220,2000000,0.070857,28.226,35.429
41065.029,2000000,0.072749,27.492,36.375
41223.294,2000000,0.070549,28.349,35.275
41384.877,2000000,0.071497,27.973,35.748
41537.962,2000000,0.070914,28.203,35.457
41699.591,2000000,0.068833,29.056,34.417
41861.903,2000000,0.069120,28.935,34.560
42026.217,2000000,0.069754,28.672,34.877
42192.138,2000000,0.073767,27.112,36.883
42344.005,2000000,0.074555,26.826,37.277
42516.285,2000000,0.072889,27.439,36.444
42694.776,2000000,0.072461,27.601,36.230
42872.066,2000000,0.072644,27.532,36.322
43060.769,2000000,0.072601,27.548,36.301
43243.439,2000000,0.072413,27.619,36.207
43396.661,2000000,0.073342,27.270,36.671
43590.582,2000000,0.074759,26.753,37.380
43791.808,2000000,0.072903,27.434,36.451
43999.242,2000000,0.074897,26.704,37.448
44209.414,2000000,0.072174,27.711,36.087
44378.447,2000000,0.073271,27.296,36.636
44539.305,2000000,0.073789,27.104,36.895
44705.399,2000000,0.074567,26.822,37.283
44902.006,2000000,0.073954,27.044,36.977
45111.599,2000000,0.072461,27.601,36.230
45287.963,2000000,0.073471,27.222,36.735
45471.363,2000000,0.073132,27.348,36.566
45680.174,2000000,0.072657,27.526,36.329
45873.153,2000000,0.073195,27.324,36.598
46078.149,2000000,0.072741,27.495,36.371
46308.066,2000000,0.073089,27.364,36.544
46535.464,2000000,0.072556,27.565,36.278
46761.310,2000000,0.074077,26.999,37.039
46986.835,2000000,0.072308,27.659,36.154
47218.562,2000000,0.072731,27.499,36.365
47462.206,2000000,0.072929,27.424,36.465
47706.880,2000000,0.073050,27.379,36.525
47950.049,2000000,0.070327,28.438,35.164
48132.680,2000000,0.072844,27.456,36.422
48330.658,2000000,0.072452,27.604,36.226
48573.812,2000000,0.069838,28.638,34.919
48795.498,2000000,0.069273,28.871,34.637
49033.868,2000000,0.069065,28.958,34.532
49272.582,2000000,0.070143,28.513,35.072
49492.061,2000000,0.069193,28.905,34.597
49670.679,2000000,0.072124,27.730,36.062
49862.978,2000000,0.070067,28.544,35.033
50053.839,2000000,0.068775,29.081,34.387
50234.970,2000000,0.069508,28.774,34.754
50405.346,2000000,0.076677,26.084,38.338
50434.743,2000000,0.092530,21.615,46.265
50480.245,2000000,0.088971,22.479,44.485
50566.408,2000000,0.085003,23.528,42.502
50656.324,2000000,0.083451,23.966,41.726
50747.361,2000000,0.083304,24.008,41.652
50878.913,2000000,0.080047,24.985,40.024
51002.854,2000000,0.078449,25.494,39.224
51081.272,2000000,0.072994,27.400,36.497
51177.983,2000000,0.073864,27.077,36.932
51279.702,2000000,0.071358,28.028,35.679
51342.528,2000000,0.074846,26.722,37.423
51427.451,2000000,0.075053,26.648,37.527
51513.844,2000000,0.074286,26.923,37.143
51621.253,2000000,0.071972,27.789,35.986
51698.213,2000000,0.073139,27.345,36.570
51793.917,2000000,0.074480,26.853,37.240
51901.849,2000000,0.073391,27.251,36.695
52035.891,2000000,0.071420,28.003,35.710
52146.460,2000000,0.071639,27.918,35.819
52266.816,2000000,0.071903,27.815,35.952
52377.673,2000000,0.071903,27.815,35.951
52498.137,2000000,0.071740,27.878,35.870
52579.597,2000000,0.073744,27.121,36.872
52668.550,2000000,0.073499,27.211,36.749
52757.084,2000000,0.073702,27.136,36.851
52863.370,2000000,0.071833,27.842,35.916
52991.853,2000000,0.071441,27.995,35.720
53090.291,2000000,0.071840,27.840,35.920
53205.940,2000000,0.071172,28.101,35.586
53304.784,2000000,0.071629,27.922,35.815
53444.480,2000000,0.069403,28.817,34.701
53537.938,2000000,0.070367,28.422,35.184
53614.587,2000000,0.073359,27.263,36.680
53731.133,2000000,0.073058,27.376,36.529
53830.793,2000000,0.072435,27.611,36.217
53950.304,2000000,0.072858,27.451,36.429
54083.080,2000000,0.070525,28.359,35.262
54213.765,2000000,0.068007,29.409,34.003
54320.251,2000000,0.071296,28.052,35.648
54428.861,2000000,0.071833,27.842,35.917
54558.086,2000000,0.072564,27.562,36.282
54660.144,2000000,0.074625,26.800,37.313
54763.798,2000000,0.073211,27.318,36.605
54897.464,2000000,0.071826,27.845,35.913
55014.416,2000000,0.072591,27.552,36.296
55138.809,2000000,0.072266,27.675,36.133
55264.898,2000000,0.073430,27.237,36.715
55373.880,2000000,0.072985,27.403,36.492
55500.897,2000000,0.071960,27.793,35.980
55657.830,2000000,0.071351,28.031,35.675
55770.504,2000000,0.074833,26.726,37.416
55866.370,2000000,0.074072,27.001,37.036
55974.085,2000000,0.071936,27.802,35.968
56088.321,2000000,0.071340,28.035,35.670
56178.337,2000000,0.073551,27.192,36.776
56318.039,2000000,0.070973,28.180,35.487
56431.440,2000000,0.072544,27.570,36.272
56523.415,2000000,0.072456,27.603,36.228
56643.671,2000000,0.070843,28.232,35.421
56733.452,2000000,0.071829,27.844,35.914
56850.012,2000000,0.070300,28.450,35.150
56982.362,2000000,0.068601,29.154,34.300
57085.871,2000000,0.070105,28.529,35.053
57187.026,2000000,0.069872,28.624,34.936
57282.905,2000000,0.069753,28.673,34.877
57323.378,2000000,0.070957,28.186,35.479
57378.883,2000000,0.061886,32.317,30.943
57440.649,2000000,0.058412,34.239,29.206
57496.013,2000000,0.064113,31.195,32.057
57547.532,2000000,0.062735,31.880,31.367
57583.860,2000000,0.068608,29.151,34.304
57600.677,2000000,0.081800,24.450,40.900
64897.609,2000000,0.080569,24.823,40.284
72300.000,366634,0.012315,29.771,33.590
