note: Rosetta 2 hides avx2 bmi2 bmi movbe lzcnt fma f16c from CPUID but executes it; continuing

*** Running under Rosetta 2: x86 code is being translated to ARM.
*** Use these numbers for smoke-testing only; benchmark on native x86-64.

2026-09-24T22:30:02+08:00
Running ./build/bm_itch_avx2
Run on (15 X 2400 MHz CPU s)
CPU Caches:
  L1 Data 64 KiB
  L1 Instruction 128 KiB
  L2 Unified 8192 KiB (x15)
Load Average: 4.62, 4.67, 4.49
WARNING: running under Rosetta 2 translation: timings are NOT representative
itch_simd_level: AVX2
----------------------------------------------------------------------------------------------------------------------
Benchmark                                                            Time             CPU   Iterations UserCounters...
----------------------------------------------------------------------------------------------------------------------
BM_LevelSearch/std_lower_bound/depth:8/uniform:0_mean             1.85 ns         1.85 ns            3 items_per_second=541.663M/s
BM_LevelSearch/std_lower_bound/depth:8/uniform:0_median           1.85 ns         1.85 ns            3 items_per_second=540.311M/s
BM_LevelSearch/std_lower_bound/depth:8/uniform:0_stddev          0.009 ns        0.009 ns            3 items_per_second=2.64099M/s
BM_LevelSearch/std_lower_bound/depth:8/uniform:0_cv               0.47 %          0.49 %             3 items_per_second=0.49%
BM_LevelSearch/std_lower_bound/depth:8/uniform:1_mean             1.75 ns         1.75 ns            3 items_per_second=570.874M/s
BM_LevelSearch/std_lower_bound/depth:8/uniform:1_median           1.76 ns         1.75 ns            3 items_per_second=570.321M/s
BM_LevelSearch/std_lower_bound/depth:8/uniform:1_stddev          0.005 ns        0.005 ns            3 items_per_second=1.73315M/s
BM_LevelSearch/std_lower_bound/depth:8/uniform:1_cv               0.30 %          0.30 %             3 items_per_second=0.30%
BM_LevelSearch/std_lower_bound/depth:32/uniform:0_mean            2.92 ns         2.92 ns            3 items_per_second=342.649M/s
BM_LevelSearch/std_lower_bound/depth:32/uniform:0_median          2.92 ns         2.92 ns            3 items_per_second=342.864M/s
BM_LevelSearch/std_lower_bound/depth:32/uniform:0_stddev         0.016 ns        0.016 ns            3 items_per_second=1.8516M/s
BM_LevelSearch/std_lower_bound/depth:32/uniform:0_cv              0.56 %          0.54 %             3 items_per_second=0.54%
BM_LevelSearch/std_lower_bound/depth:32/uniform:1_mean            3.58 ns         3.57 ns            3 items_per_second=279.884M/s
BM_LevelSearch/std_lower_bound/depth:32/uniform:1_median          3.57 ns         3.57 ns            3 items_per_second=280.097M/s
BM_LevelSearch/std_lower_bound/depth:32/uniform:1_stddev         0.029 ns        0.028 ns            3 items_per_second=2.22692M/s
BM_LevelSearch/std_lower_bound/depth:32/uniform:1_cv              0.80 %          0.80 %             3 items_per_second=0.80%
BM_LevelSearch/std_lower_bound/depth:128/uniform:0_mean           4.34 ns         4.33 ns            3 items_per_second=230.813M/s
BM_LevelSearch/std_lower_bound/depth:128/uniform:0_median         4.34 ns         4.32 ns            3 items_per_second=231.271M/s
BM_LevelSearch/std_lower_bound/depth:128/uniform:0_stddev        0.011 ns        0.015 ns            3 items_per_second=814.81k/s
BM_LevelSearch/std_lower_bound/depth:128/uniform:0_cv             0.26 %          0.35 %             3 items_per_second=0.35%
BM_LevelSearch/std_lower_bound/depth:128/uniform:1_mean           4.87 ns         4.87 ns            3 items_per_second=205.552M/s
BM_LevelSearch/std_lower_bound/depth:128/uniform:1_median         4.87 ns         4.86 ns            3 items_per_second=205.62M/s
BM_LevelSearch/std_lower_bound/depth:128/uniform:1_stddev        0.043 ns        0.042 ns            3 items_per_second=1.76221M/s
BM_LevelSearch/std_lower_bound/depth:128/uniform:1_cv             0.87 %          0.86 %             3 items_per_second=0.86%
BM_LevelSearch/std_lower_bound/depth:512/uniform:0_mean           6.14 ns         6.14 ns            3 items_per_second=162.982M/s
BM_LevelSearch/std_lower_bound/depth:512/uniform:0_median         6.14 ns         6.13 ns            3 items_per_second=163.074M/s
BM_LevelSearch/std_lower_bound/depth:512/uniform:0_stddev        0.055 ns        0.056 ns            3 items_per_second=1.49335M/s
BM_LevelSearch/std_lower_bound/depth:512/uniform:0_cv             0.90 %          0.92 %             3 items_per_second=0.92%
BM_LevelSearch/std_lower_bound/depth:512/uniform:1_mean           6.81 ns         6.80 ns            3 items_per_second=146.971M/s
BM_LevelSearch/std_lower_bound/depth:512/uniform:1_median         6.83 ns         6.82 ns            3 items_per_second=146.697M/s
BM_LevelSearch/std_lower_bound/depth:512/uniform:1_stddev        0.031 ns        0.030 ns            3 items_per_second=660.229k/s
BM_LevelSearch/std_lower_bound/depth:512/uniform:1_cv             0.45 %          0.45 %             3 items_per_second=0.45%
BM_LevelSearch/branchless_binary/depth:8/uniform:0_mean           5.43 ns         5.43 ns            3 items_per_second=184.304M/s
BM_LevelSearch/branchless_binary/depth:8/uniform:0_median         5.40 ns         5.39 ns            3 items_per_second=185.545M/s
BM_LevelSearch/branchless_binary/depth:8/uniform:0_stddev        0.090 ns        0.090 ns            3 items_per_second=3.04625M/s
BM_LevelSearch/branchless_binary/depth:8/uniform:0_cv             1.66 %          1.67 %             3 items_per_second=1.65%
BM_LevelSearch/branchless_binary/depth:8/uniform:1_mean           5.53 ns         5.52 ns            3 items_per_second=181.231M/s
BM_LevelSearch/branchless_binary/depth:8/uniform:1_median         5.46 ns         5.46 ns            3 items_per_second=183.249M/s
BM_LevelSearch/branchless_binary/depth:8/uniform:1_stddev        0.121 ns        0.121 ns            3 items_per_second=3.92942M/s
BM_LevelSearch/branchless_binary/depth:8/uniform:1_cv             2.19 %          2.20 %             3 items_per_second=2.17%
